------------------------------------------------------------
Server listening on UDP port 8
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  1] local 10.0.0.1 port 8 connected with 10.0.0.2 port 56701
[  2] local 10.0.0.1 port 8 connected with 10.0.0.4 port 52384
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  2] 0.0000-1.0000 sec   739 KBytes  6.06 Mbits/sec   0.249 ms 0/515 (0%)
[  1] 0.0000-1.0000 sec   860 KBytes  7.04 Mbits/sec   0.237 ms 0/599 (0%)
[  3] local 10.0.0.1 port 8 connected with 10.0.0.3 port 56736
[  4] local 10.0.0.1 port 8 connected with 10.0.0.5 port 48240
[  2] 1.0000-2.0000 sec   732 KBytes  6.00 Mbits/sec   0.269 ms 0/510 (0%)
[  1] 1.0000-2.0000 sec   854 KBytes  7.00 Mbits/sec   0.301 ms 0/595 (0%)
[  3] 0.0000-1.0000 sec   635 KBytes  5.20 Mbits/sec   0.380 ms 426/868 (49%)
[  3] 0.0000-1.0000 sec  3 datagrams received out-of-order
[  4] 0.0000-1.0000 sec   612 KBytes  5.01 Mbits/sec   0.025 ms 442/868 (51%)
[  2] 2.0000-3.0000 sec   732 KBytes  6.00 Mbits/sec   0.246 ms 0/510 (0%)
[  1] 2.0000-3.0000 sec   856 KBytes  7.01 Mbits/sec   0.206 ms 0/596 (0%)
[  3] 1.0000-2.0000 sec   610 KBytes  5.00 Mbits/sec   0.340 ms 0/425 (0%)
[  4] 1.0000-2.0000 sec   610 KBytes  5.00 Mbits/sec   0.011 ms 0/425 (0%)
[  2] 3.0000-4.0000 sec   732 KBytes  6.00 Mbits/sec   0.270 ms 0/510 (0%)
[  1] 3.0000-4.0000 sec   853 KBytes  6.99 Mbits/sec   0.263 ms 0/594 (0%)
[  3] 2.0000-3.0000 sec   610 KBytes  5.00 Mbits/sec   0.267 ms 0/425 (0%)
[  4] 2.0000-3.0000 sec   610 KBytes  5.00 Mbits/sec   0.020 ms 0/425 (0%)
[  2] 4.0000-5.0000 sec   734 KBytes  6.01 Mbits/sec   0.212 ms 0/511 (0%)
[  1] 4.0000-5.0000 sec   856 KBytes  7.01 Mbits/sec   0.251 ms 0/596 (0%)
[  3] 3.0000-4.0000 sec   610 KBytes  5.00 Mbits/sec   0.343 ms 0/425 (0%)
[  4] 3.0000-4.0000 sec   612 KBytes  5.01 Mbits/sec   0.036 ms 0/426 (0%)
[  2] 5.0000-6.0000 sec   732 KBytes  6.00 Mbits/sec   0.253 ms 0/510 (0%)
[  1] 5.0000-6.0000 sec   854 KBytes  7.00 Mbits/sec   0.285 ms 0/595 (0%)
[  3] 4.0000-5.0000 sec   610 KBytes  5.00 Mbits/sec   0.291 ms 0/425 (0%)
[  4] 4.0000-5.0000 sec   610 KBytes  5.00 Mbits/sec   0.008 ms 0/425 (0%)
[  2] 6.0000-7.0000 sec   732 KBytes  6.00 Mbits/sec   0.260 ms 0/510 (0%)
[  1] 6.0000-7.0000 sec   856 KBytes  7.01 Mbits/sec   0.237 ms 0/596 (0%)
[  3] 5.0000-6.0000 sec   612 KBytes  5.01 Mbits/sec   0.343 ms 0/426 (0%)
