------------------------------------------------------------
Server listening on UDP port 8
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  1] local 10.0.0.1 port 8 connected with 10.0.0.4 port 35580
[  2] local 10.0.0.1 port 8 connected with 10.0.0.2 port 45788
[  3] local 10.0.0.1 port 8 connected with 10.0.0.5 port 34693
[  4] local 10.0.0.1 port 8 connected with 10.0.0.3 port 34034
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  4] 0.0000-1.0000 sec   613 KBytes  5.02 Mbits/sec   0.508 ms 0/427 (0%)
[  1] 0.0000-1.0000 sec   735 KBytes  6.02 Mbits/sec   0.193 ms 0/512 (0%)
[  2] 0.0000-1.0000 sec   858 KBytes  7.03 Mbits/sec   0.244 ms 0/598 (0%)
[  3] 0.0000-1.0000 sec   613 KBytes  5.02 Mbits/sec   0.056 ms 0/427 (0%)
[  4] 1.0000-2.0000 sec   610 KBytes  5.00 Mbits/sec   0.585 ms 0/425 (0%)
[  1] 1.0000-2.0000 sec   732 KBytes  6.00 Mbits/sec   0.329 ms 0/510 (0%)
[  2] 1.0000-2.0000 sec   854 KBytes  7.00 Mbits/sec   0.408 ms 0/595 (0%)
[  3] 1.0000-2.0000 sec   610 KBytes  5.00 Mbits/sec   0.036 ms 0/425 (0%)
[  1] 2.0000-3.0000 sec   732 KBytes  6.00 Mbits/sec   0.198 ms 0/510 (0%)
[  2] 2.0000-3.0000 sec   854 KBytes  7.00 Mbits/sec   0.299 ms 0/595 (0%)
[  3] 2.0000-3.0000 sec   610 KBytes  5.00 Mbits/sec   0.014 ms 0/425 (0%)
[  4] 2.0000-3.0000 sec   610 KBytes  5.00 Mbits/sec   0.448 ms 0/425 (0%)
[  4] 3.0000-4.0000 sec   612 KBytes  5.01 Mbits/sec   0.498 ms 0/426 (0%)
[  1] 3.0000-4.0000 sec   734 KBytes  6.01 Mbits/sec   0.227 ms 0/511 (0%)
[  2] 3.0000-4.0000 sec   856 KBytes  7.01 Mbits/sec   0.252 ms 0/596 (0%)
[  3] 3.0000-4.0000 sec   610 KBytes  5.00 Mbits/sec   0.114 ms 0/425 (0%)
[  4] 4.0000-5.0000 sec   610 KBytes  5.00 Mbits/sec   0.641 ms 0/425 (0%)
[  1] 4.0000-5.0000 sec   732 KBytes  6.00 Mbits/sec   0.295 ms 0/510 (0%)
[  2] 4.0000-5.0000 sec   854 KBytes  7.00 Mbits/sec   0.302 ms 0/595 (0%)
[  3] 4.0000-5.0000 sec   610 KBytes  5.00 Mbits/sec   0.035 ms 0/425 (0%)
[  4] 5.0000-6.0000 sec   610 KBytes  5.00 Mbits/sec   0.584 ms 0/425 (0%)
[  1] 5.0000-6.0000 sec   731 KBytes  5.99 Mbits/sec   0.170 ms 0/509 (0%)
