exec sudo mnexec -a 24189 iperf -s -u -p 8 -i 1
------------------------------------------------------------
Server listening on UDP port 8
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  1] local 10.0.0.1 port 8 connected with 10.0.0.4 port 60989
[  2] local 10.0.0.1 port 8 connected with 10.0.0.5 port 48225
[  3] local 10.0.0.1 port 8 connected with 10.0.0.2 port 43957
[  4] local 10.0.0.1 port 8 connected with 10.0.0.3 port 60239
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  1] 0.0000-1.0000 sec   739 KBytes  6.06 Mbits/sec   0.350 ms 0/515 (0%)
[  1] 0.0000-1.0000 sec  2 datagrams received out-of-order
[  2] 0.0000-1.0000 sec   630 KBytes  5.16 Mbits/sec   0.007 ms 0/434 (0%)
[  2] 0.0000-1.0000 sec  11 datagrams received out-of-order
[  3] 0.0000-1.0000 sec   864 KBytes  7.08 Mbits/sec   0.211 ms 5/607 (0.82%)
[  3] 0.0000-1.0000 sec  6 datagrams received out-of-order
[  4] 0.0000-1.0000 sec   624 KBytes  5.12 Mbits/sec   0.358 ms 0/435 (0%)
[  4] 0.0000-1.0000 sec  3 datagrams received out-of-order
[  1] 1.0000-2.0000 sec   732 KBytes  6.00 Mbits/sec   0.315 ms 0/510 (0%)
[  3] 1.0000-2.0000 sec   854 KBytes  7.00 Mbits/sec   0.285 ms 0/595 (0%)
[  4] 1.0000-2.0000 sec   610 KBytes  5.00 Mbits/sec   0.474 ms 0/425 (0%)
[  2] 1.0000-2.0000 sec   610 KBytes  5.00 Mbits/sec   0.070 ms 0/425 (0%)
[  1] 2.0000-3.0000 sec   732 KBytes  6.00 Mbits/sec   0.327 ms 0/510 (0%)
[  3] 2.0000-3.0000 sec   856 KBytes  7.01 Mbits/sec   0.214 ms 0/596 (0%)
[  4] 2.0000-3.0000 sec   610 KBytes  5.00 Mbits/sec   0.390 ms 0/425 (0%)
[  2] 2.0000-3.0000 sec   610 KBytes  5.00 Mbits/sec   0.009 ms 0/425 (0%)
[  1] 3.0000-4.0000 sec   732 KBytes  6.00 Mbits/sec   0.300 ms 0/510 (0%)
[  3] 3.0000-4.0000 sec   854 KBytes  7.00 Mbits/sec   0.226 ms 0/595 (0%)
[  2] 3.0000-4.0000 sec   610 KBytes  5.00 Mbits/sec   0.003 ms 0/425 (0%)
[  4] 3.0000-4.0000 sec   610 KBytes  5.00 Mbits/sec   0.395 ms 0/425 (0%)
[  1] 4.0000-5.0000 sec   732 KBytes  6.00 Mbits/sec   0.273 ms 0/510 (0%)
[  2] 4.0000-5.0000 sec   612 KBytes  5.01 Mbits/sec   0.040 ms 0/426 (0%)
[  3] 4.0000-5.0000 sec   854 KBytes  7.00 Mbits/sec   0.272 ms 0/595 (0%)
[  4] 4.0000-5.0000 sec   610 KBytes  5.00 Mbits/sec   0.426 ms 0/425 (0%)
[  1] 5.0000-6.0000 sec   734 KBytes  6.01 Mbits/sec   0.297 ms 0/511 (0%)
[  3] 5.0000-6.0000 sec   854 KBytes  7.00 Mbits/sec   0.174 ms 0/595 (0%)
[  4] 5.0000-6.0000 sec   612 KBytes  5.01 Mbits/sec   0.392 ms 0/426 (0%)
[  2] 5.0000-6.0000 sec   610 KBytes  5.00 Mbits/sec   0.069 ms 0/425 (0%)
[  1] 6.0000-7.0000 sec   732 KBytes  6.00 Mbits/sec   0.335 ms 0/510 (0%)
[  3] 6.0000-7.0000 sec   854 KBytes  7.00 Mbits/sec   0.259 ms 0/595 (0%)
[  4] 6.0000-7.0000 sec   609 KBytes  4.99 Mbits/sec   0.383 ms 0/424 (0%)
[  2] 6.0000-7.0000 sec   610 KBytes  5.00 Mbits/sec   0.023 ms 0/425 (0%)
[  1] 7.0000-8.0000 sec   732 KBytes  6.00 Mbits/sec   0.242 ms 0/510 (0%)
[  3] 7.0000-8.0000 sec   856 KBytes  7.01 Mbits/sec   0.244 ms 0/596 (0%)
[  4] 7.0000-8.0000 sec   612 KBytes  5.01 Mbits/sec   0.373 ms 0/426 (0%)
[  2] 7.0000-8.0000 sec   610 KBytes  5.00 Mbits/sec   0.085 ms 0/425 (0%)
[  1] 8.0000-9.0000 sec   732 KBytes  6.00 Mbits/sec   0.413 ms 0/510 (0%)
[  3] 8.0000-9.0000 sec   854 KBytes  7.00 Mbits/sec   0.258 ms 0/595 (0%)
[  2] 8.0000-9.0000 sec   610 KBytes  5.00 Mbits/sec   0.006 ms 0/425 (0%)
[  4] 8.0000-9.0000 sec   610 KBytes  5.00 Mbits/sec   0.399 ms 0/425 (0%)
[  1] 9.0000-10.0000 sec   732 KBytes  6.00 Mbits/sec   0.381 ms 0/510 (0%)
[  2] 9.0000-10.0000 sec   610 KBytes  5.00 Mbits/sec   0.060 ms 0/425 (0%)
[  3] 9.0000-10.0000 sec   854 KBytes  7.00 Mbits/sec   0.225 ms 0/595 (0%)
[  4] 9.0000-10.0000 sec   610 KBytes  5.00 Mbits/sec   0.334 ms 0/425 (0%)
[  1] 10.0000-11.0000 sec   734 KBytes  6.01 Mbits/sec   0.337 ms 0/511 (0%)
[  3] 10.0000-11.0000 sec   856 KBytes  7.01 Mbits/sec   0.210 ms 0/596 (0%)
[  4] 10.0000-11.0000 sec   610 KBytes  5.00 Mbits/sec   0.370 ms 0/425 (0%)
